date,region,disease,case_count,severity
2022-01-19,south,diabetes,6,medium
2022-01-19,south,hypertension,9,low
2022-01-19,south,asthma,14,high
2022-01-19,east,flu,0,medium
2022-01-19,east,dengue,6,medium
2022-01-19,east,diabetes,5,medium
2022-01-19,east,hypertension,4,medium
2022-01-19,east,asthma,0,low
2022-01-19,west,flu,21,medium
2022-01-19,west,dengue,4,high
2022-01-19,west,diabetes,0,low
2022-01-19,west,hypertension,12,low
2022-01-19,west,asthma,3,medium
2022-01-19,central,flu,19,low
2022-01-19,central,dengue,7,low
2022-01-19,central,diabetes,14,medium
2022-01-19,central,hypertension,12,medium
2022-01-19,central,asthma,18,medium
2022-01-20,north,flu,3,medium
2022-01-20,north,dengue,4,high
2022-01-20,north,diabetes,9,low
2022-01-20,north,hypertension,5,medium
2022-01-20,north,asthma,14,low
2022-01-20,south,flu,10,low
2022-01-20,south,dengue,12,low
2022-01-20,south,diabetes,17,medium
2022-01-20,south,hypertension,14,medium
2022-01-20,south,asthma,10,high
2022-01-20,east,flu,3,high
2022-01-20,east,dengue,4,high
2022-01-20,east,diabetes,7,medium
2022-01-20,east,hypertension,16,medium
2022-01-20,east,asthma,8,medium
2022-01-20,west,flu,13,high
2022-01-20,west,dengue,21,high
2022-01-20,west,diabetes,0,low
2022-01-20,west,hypertension,20,low
2022-01-20,west,asthma,3,low
2022-01-20,central,flu,24,low
2022-01-20,central,dengue,21,medium
2022-01-20,central,diabetes,7,medium
2022-01-20,central,hypertension,14,low
2022-01-20,central,asthma,8,low
2022-01-21,north,flu,24,low
2022-01-21,north,dengue,8,low
2022-01-21,north,diabetes,19,medium
2022-01-21,north,hypertension,10,high
2022-01-21,north,asthma,6,low
2022-01-21,south,flu,1,high
2022-01-21,south,dengue,10,low
2022-01-21,south,diabetes,18,low
2022-01-21,south,hypertension,24,medium
2022-01-21,south,asthma,5,low
2022-01-21,east,flu,0,low
2022-01-21,east,dengue,10,medium
2022-01-21,east,diabetes,17,medium
2022-01-21,east,hypertension,6,high
2022-01-21,east,asthma,8,low
2022-01-21,west,flu,21,high
2022-01-21,west,dengue,7,medium
2022-01-21,west,diabetes,0,low
2022-01-21,west,hypertension,22,medium
2022-01-21,west,asthma,23,high
2022-01-21,central,flu,16,low
2022-01-21,central,dengue,15,medium
2022-01-21,central,diabetes,17,low
2022-01-21,central,hypertension,18,medium
2022-01-21,central,asthma,1,medium
2022-01-22,north,flu,16,medium
2022-01-22,north,dengue,5,medium
2022-01-22,north,diabetes,3,low
2022-01-22,north,hypertension,22,high
2022-01-22,north,asthma,9,low
2022-01-22,south,flu,13,medium
2022-01-22,south,dengue,0,low
2022-01-22,south,diabetes,17,high
2022-01-22,south,hypertension,7,low
2022-01-22,south,asthma,22,low
2022-01-22,east,flu,22,medium
2022-01-22,east,dengue,7,low
2022-01-22,east,diabetes,14,medium
2022-01-22,east,hypertension,18,medium
2022-01-22,east,asthma,14,medium
2022-01-22,west,flu,2,low
2022-01-22,west,dengue,13,medium
2022-01-22,west,diabetes,13,high
2022-01-22,west,hypertension,3,high
2022-01-22,west,asthma,21,low
2022-01-22,central,flu,22,high
2022-01-22,central,dengue,6,medium
2022-01-22,central,diabetes,0,low
2022-01-22,central,hypertension,18,low
2022-01-22,central,asthma,18,medium
2022-01-23,north,flu,17,high
2022-01-23,north,dengue,14,medium
2022-01-23,north,diabetes,10,low
2022-01-23,north,hypertension,1,low
2022-01-23,north,asthma,22,low
2022-01-23,south,flu,4,low
2022-01-23,south,dengue,8,medium
2022-01-23,south,diabetes,11,low
2022-01-23,south,hypertension,21,medium
2022-01-23,south,asthma,16,high
2022-01-23,east,flu,23,high
2022-01-23,east,dengue,22,medium
2022-01-23,east,diabetes,16,medium
2022-01-23,east,hypertension,16,low
2022-01-23,east,asthma,7,medium
2022-01-23,west,flu,24,low
2022-01-23,west,dengue,21,medium
2022-01-23,west,diabetes,13,high
2022-01-23,west,hypertension,12,medium
2022-01-23,west,asthma,4,low
2022-01-23,central,flu,17,medium
2022-01-23,central,dengue,9,medium
2022-01-23,central,diabetes,5,low
2022-01-23,central,hypertension,4,medium
2022-01-23,central,asthma,11,low
2022-01-24,north,flu,9,low
2022-01-24,north,dengue,24,low
2022-01-24,north,diabetes,7,low
2022-01-24,north,hypertension,12,medium
2022-01-24,north,asthma,6,medium
2022-01-24,south,flu,16,medium
2022-01-24,south,dengue,13,low
2022-01-24,south,diabetes,21,medium
2022-01-24,south,hypertension,18,low
2022-01-24,south,asthma,18,low
2022-01-24,east,flu,20,high
2022-01-24,east,dengue,10,low
2022-01-24,east,diabetes,16,medium
2022-01-24,east,hypertension,7,medium
2022-01-24,east,asthma,1,low
2022-01-24,west,flu,23,high
2022-01-24,west,dengue,4,medium
2022-01-24,west,diabetes,3,medium
2022-01-24,west,hypertension,18,medium
2022-01-24,west,asthma,10,high
2022-01-24,central,flu,12,low
2022-01-24,central,dengue,8,medium
2022-01-24,central,diabetes,20,low
2022-01-24,central,hypertension,7,medium
2022-01-24,central,asthma,24,medium
2022-01-25,north,flu,7,medium
2022-01-25,north,dengue,6,low
2022-01-25,north,diabetes,17,medium
2022-01-25,north,hypertension,11,high
2022-01-25,north,asthma,5,medium
2022-01-25,south,flu,18,low
2022-01-25,south,dengue,16,low
2022-01-25,south,diabetes,9,medium
2022-01-25,south,hypertension,16,low
2022-01-25,south,asthma,15,high
2022-01-25,east,flu,7,medium
2022-01-25,east,dengue,16,medium
2022-01-25,east,diabetes,21,medium
2022-01-25,east,hypertension,7,low
2022-01-25,east,asthma,24,medium
2022-01-25,west,flu,8,high
2022-01-25,west,dengue,14,low
2022-01-25,west,diabetes,15,high
2022-01-25,west,hypertension,22,medium
2022-01-25,west,asthma,21,high
2022-01-25,central,flu,13,low
2022-01-25,central,dengue,6,low
2022-01-25,central,diabetes,15,low
2022-01-25,central,hypertension,22,medium
2022-01-25,central,asthma,19,high
2022-01-26,north,flu,17,medium
2022-01-26,north,dengue,6,low
2022-01-26,north,diabetes,23,low
2022-01-26,north,hypertension,12,low
2022-01-26,north,asthma,4,medium
2022-01-26,south,flu,22,medium
2022-01-26,south,dengue,6,low
2022-01-26,south,diabetes,16,medium
2022-01-26,south,hypertension,21,low
2022-01-26,south,asthma,17,medium
2022-01-26,east,flu,12,medium
2022-01-26,east,dengue,1,low
2022-01-26,east,diabetes,9,high
2022-01-26,east,hypertension,22,low
2022-01-26,east,asthma,17,high
2022-01-26,west,flu,2,low
2022-01-26,west,dengue,13,low
2022-01-26,west,diabetes,16,medium
2022-01-26,west,hypertension,20,medium
2022-01-26,west,asthma,15,high
2022-01-26,central,flu,14,low
2022-01-26,central,dengue,24,low
2022-01-26,central,diabetes,19,medium
2022-01-26,central,hypertension,16,low
2022-01-26,central,asthma,13,low
2022-01-27,north,flu,17,low
2022-01-27,north,dengue,4,low
2022-01-27,north,diabetes,0,high
2022-01-27,north,hypertension,14,medium
2022-01-27,north,asthma,16,low
2022-01-27,south,flu,3,low
2022-01-27,south,dengue,4,medium
2022-01-27,south,diabetes,10,medium
2022-01-27,south,hypertension,6,high
2022-01-27,south,asthma,13,medium
2022-01-27,east,flu,12,high
2022-01-27,east,dengue,6,high
2022-01-27,east,diabetes,7,high
2022-01-27,east,hypertension,21,medium
2022-01-27,east,asthma,12,low
2022-01-27,west,flu,10,low
2022-01-27,west,dengue,8,low
2022-01-27,west,diabetes,2,high
2022-01-27,west,hypertension,4,low
2022-01-27,west,asthma,14,low
2022-01-27,central,flu,8,high
2022-01-27,central,dengue,16,low
2022-01-27,central,diabetes,9,medium
2022-01-27,central,hypertension,17,medium
2022-01-27,central,asthma,23,high
2022-01-28,north,flu,2,low
2022-01-28,north,dengue,23,medium
2022-01-28,north,diabetes,24,medium
2022-01-28,north,hypertension,13,high
2022-01-28,north,asthma,10,high
2022-01-28,south,flu,2,low
2022-01-28,south,dengue,8,low
2022-01-28,south,diabetes,1,high
2022-01-28,south,hypertension,8,low
2022-01-28,south,asthma,24,medium
2022-01-28,east,flu,1,medium
2022-01-28,east,dengue,14,low
2022-01-28,east,diabetes,4,low
2022-01-28,east,hypertension,17,low
2022-01-28,east,asthma,15,medium
2022-01-28,west,flu,4,high
2022-01-28,west,dengue,17,medium
2022-01-28,west,diabetes,18,high
2022-01-28,west,hypertension,23,medium
2022-01-28,west,asthma,7,medium
2022-01-28,central,flu,12,medium
2022-01-28,central,dengue,23,medium
2022-01-28,central,diabetes,7,low
2022-01-28,central,hypertension,15,medium
2022-01-28,central,asthma,10,low
2022-01-29,north,flu,20,medium
2022-01-29,north,dengue,5,low
2022-01-29,north,diabetes,4,high
2022-01-29,north,hypertension,24,low
2022-01-29,north,asthma,22,low
2022-01-29,south,flu,10,low
2022-01-29,south,dengue,6,low
2022-01-29,south,diabetes,3,medium
2022-01-29,south,hypertension,12,medium
2022-01-29,south,asthma,6,low
2022-01-29,east,flu,12,medium
2022-01-29,east,dengue,16,medium
2022-01-29,east,diabetes,7,low
2022-01-29,east,hypertension,23,high
2022-01-29,east,asthma,15,low
2022-01-29,west,flu,6,medium
2022-01-29,west,dengue,1,low
2022-01-29,west,diabetes,14,high
2022-01-29,west,hypertension,21,high
2022-01-29,west,asthma,3,low
2022-01-29,central,flu,16,medium
2022-01-29,central,dengue,16,medium
2022-01-29,central,diabetes,0,low
2022-01-29,central,hypertension,23,low
2022-01-29,central,asthma,17,high
2022-01-30,north,flu,14,high
2022-01-30,north,dengue,3,medium
2022-01-30,north,diabetes,19,medium
2022-01-30,north,hypertension,6,low
2022-01-30,north,asthma,0,low
2022-01-30,south,flu,14,high
2022-01-30,south,dengue,10,medium
2022-01-30,south,diabetes,1,low
2022-01-30,south,hypertension,3,medium
2022-01-30,south,asthma,12,high
2022-01-30,east,flu,14,medium
2022-01-30,east,dengue,10,low
2022-01-30,east,diabetes,1,medium
2022-01-30,east,hypertension,19,medium
2022-01-30,east,asthma,2,high
2022-01-30,west,flu,11,low
2022-01-30,west,dengue,20,high
2022-01-30,west,diabetes,4,medium
2022-01-30,west,hypertension,5,medium
2022-01-30,west,asthma,4,high
2022-01-30,central,flu,0,low
2022-01-30,central,dengue,5,low
2022-01-30,central,diabetes,2,low
2022-01-30,central,hypertension,24,medium
2022-01-30,central,asthma,17,high
2022-01-31,north,flu,15,medium
2022-01-31,north,dengue,13,low
2022-01-31,north,diabetes,20,low
2022-01-31,north,hypertension,13,medium
2022-01-31,north,asthma,6,medium
2022-01-31,south,flu,11,low
2022-01-31,south,dengue,2,low
2022-01-31,south,diabetes,14,medium
2022-01-31,south,hypertension,13,medium
2022-01-31,south,asthma,11,low
2022-01-31,east,flu,8,low
2022-01-31,east,dengue,24,low
2022-01-31,east,diabetes,21,medium
2022-01-31,east,hypertension,20,medium
2022-01-31,east,asthma,7,low
2022-01-31,west,flu,12,low
2022-01-31,west,dengue,20,low
2022-01-31,west,diabetes,17,medium
2022-01-31,west,hypertension,5,low
2022-01-31,west,asthma,12,medium
2022-01-31,central,flu,5,high
2022-01-31,central,dengue,10,medium
2022-01-31,central,diabetes,23,low
2022-01-31,central,hypertension,11,high
2022-01-31,central,asthma,14,medium
2022-02-01,north,flu,21,low
2022-02-01,north,dengue,0,medium
2022-02-01,north,diabetes,17,low
2022-02-01,north,hypertension,1,medium
2022-02-01,north,asthma,8,low
2022-02-01,south,flu,0,high
2022-02-01,south,dengue,21,low
2022-02-01,south,diabetes,5,medium
2022-02-01,south,hypertension,13,medium
2022-02-01,south,asthma,14,low
2022-02-01,east,flu,22,medium
2022-02-01,east,dengue,7,medium
2022-02-01,east,diabetes,2,high
2022-02-01,east,hypertension,8,high
2022-02-01,east,asthma,6,medium
2022-02-01,west,flu,8,medium
2022-02-01,west,dengue,7,high
2022-02-01,west,diabetes,19,low
2022-02-01,west,hypertension,6,medium
