date,region,medicine,units_sold
2022-01-03,west,metformin,281
2022-01-03,west,amlodipine,297
2022-01-03,west,salbutamol,268
2022-01-03,west,ors,53
2022-01-03,central,paracetamol,50
2022-01-03,central,metformin,119
2022-01-03,central,amlodipine,299
2022-01-03,central,salbutamol,80
2022-01-03,central,ors,114
2022-01-04,north,paracetamol,166
2022-01-04,north,metformin,246
2022-01-04,north,amlodipine,68
2022-01-04,north,salbutamol,246
2022-01-04,north,ors,167
2022-01-04,south,paracetamol,118
2022-01-04,south,metformin,226
2022-01-04,south,amlodipine,80
2022-01-04,south,salbutamol,237
2022-01-04,south,ors,285
2022-01-04,east,paracetamol,248
2022-01-04,east,metformin,128
2022-01-04,east,amlodipine,292
2022-01-04,east,salbutamol,104
2022-01-04,east,ors,294
2022-01-04,west,paracetamol,254
2022-01-04,west,metformin,253
2022-01-04,west,amlodipine,176
2022-01-04,west,salbutamol,260
2022-01-04,west,ors,126
2022-01-04,central,paracetamol,140
2022-01-04,central,metformin,215
2022-01-04,central,amlodipine,210
2022-01-04,central,salbutamol,55
2022-01-04,central,ors,190
2022-01-05,north,paracetamol,254
2022-01-05,north,metformin,254
2022-01-05,north,amlodipine,69
2022-01-05,north,salbutamol,149
2022-01-05,north,ors,214
2022-01-05,south,paracetamol,94
2022-01-05,south,metformin,250
2022-01-05,south,amlodipine,130
2022-01-05,south,salbutamol,276
2022-01-05,south,ors,108
2022-01-05,east,paracetamol,101
2022-01-05,east,metformin,195
2022-01-05,east,amlodipine,74
2022-01-05,east,salbutamol,172
2022-01-05,east,ors,256
2022-01-05,west,paracetamol,264
2022-01-05,west,metformin,178
2022-01-05,west,amlodipine,90
2022-01-05,west,salbutamol,151
2022-01-05,west,ors,67
2022-01-05,central,paracetamol,178
2022-01-05,central,metformin,295
2022-01-05,central,amlodipine,216
2022-01-05,central,salbutamol,251
2022-01-05,central,ors,208
2022-01-06,north,paracetamol,151
2022-01-06,north,metformin,120
2022-01-06,north,amlodipine,215
2022-01-06,north,salbutamol,57
2022-01-06,north,ors,211
2022-01-06,south,paracetamol,122
2022-01-06,south,metformin,138
2022-01-06,south,amlodipine,76
2022-01-06,south,salbutamol,218
2022-01-06,south,ors,56
2022-01-06,east,paracetamol,81
2022-01-06,east,metformin,122
2022-01-06,east,amlodipine,258
2022-01-06,east,salbutamol,148
2022-01-06,east,ors,161
2022-01-06,west,paracetamol,193
2022-01-06,west,metformin,179
2022-01-06,west,amlodipine,220
2022-01-06,west,salbutamol,80
2022-01-06,west,ors,129
2022-01-06,central,paracetamol,224
2022-01-06,central,metformin,82
2022-01-06,central,amlodipine,262
2022-01-06,central,salbutamol,194
2022-01-06,central,ors,148
2022-01-07,north,paracetamol,103
2022-01-07,north,metformin,103
2022-01-07,north,amlodipine,228
2022-01-07,north,salbutamol,229
2022-01-07,north,ors,184
2022-01-07,south,paracetamol,231
2022-01-07,south,metformin,270
2022-01-07,south,amlodipine,188
2022-01-07,south,salbutamol,239
2022-01-07,south,ors,79
2022-01-07,east,paracetamol,131
2022-01-07,east,metformin,106
2022-01-07,east,amlodipine,223
2022-01-07,east,salbutamol,257
2022-01-07,east,ors,119
2022-01-07,west,paracetamol,115
2022-01-07,west,metformin,232
2022-01-07,west,amlodipine,284
2022-01-07,west,salbutamol,156
2022-01-07,west,ors,235
2022-01-07,central,paracetamol,59
2022-01-07,central,metformin,181
2022-01-07,central,amlodipine,290
2022-01-07,central,salbutamol,123
2022-01-07,central,ors,122
2022-01-08,north,paracetamol,111
2022-01-08,north,metformin,158
2022-01-08,north,amlodipine,220
2022-01-08,north,salbutamol,91
2022-01-08,north,ors,73
2022-01-08,south,paracetamol,54
2022-01-08,south,metformin,148
2022-01-08,south,amlodipine,245
2022-01-08,south,salbutamol,148
2022-01-08,south,ors,283
2022-01-08,east,paracetamol,169
2022-01-08,east,metformin,126
2022-01-08,east,amlodipine,150
2022-01-08,east,salbutamol,145
2022-01-08,east,ors,222
2022-01-08,west,paracetamol,236
2022-01-08,west,metformin,169
2022-01-08,west,amlodipine,114
2022-01-08,west,salbutamol,240
2022-01-08,west,ors,170
2022-01-08,central,paracetamol,252
2022-01-08,central,metformin,139
2022-01-08,central,amlodipine,244
2022-01-08,central,salbutamol,226
2022-01-08,central,ors,164
2022-01-09,north,paracetamol,126
2022-01-09,north,metformin,81
2022-01-09,north,amlodipine,161
2022-01-09,north,salbutamol,227
2022-01-09,north,ors,264
2022-01-09,south,paracetamol,235
2022-01-09,south,metformin,101
2022-01-09,south,amlodipine,72
2022-01-09,south,salbutamol,292
2022-01-09,south,ors,79
2022-01-09,east,paracetamol,119
2022-01-09,east,metformin,296
2022-01-09,east,amlodipine,120
2022-01-09,east,salbutamol,160
2022-01-09,east,ors,207
2022-01-09,west,paracetamol,86
2022-01-09,west,metformin,97
2022-01-09,west,amlodipine,209
2022-01-09,west,salbutamol,119
2022-01-09,west,ors,84
2022-01-09,central,paracetamol,273
2022-01-09,central,metformin,253
2022-01-09,central,amlodipine,117
2022-01-09,central,salbutamol,209
2022-01-09,central,ors,108
2022-01-10,north,paracetamol,167
2022-01-10,north,metformin,212
2022-01-10,north,amlodipine,161
2022-01-10,north,salbutamol,193
2022-01-10,north,ors,168
2022-01-10,south,paracetamol,164
2022-01-10,south,metformin,256
2022-01-10,south,amlodipine,154
2022-01-10,south,salbutamol,229
2022-01-10,south,ors,115
2022-01-10,east,paracetamol,55
2022-01-10,east,metformin,63
2022-01-10,east,amlodipine,282
2022-01-10,east,salbutamol,206
2022-01-10,east,ors,155
2022-01-10,west,paracetamol,203
2022-01-10,west,metformin,67
2022-01-10,west,amlodipine,288
2022-01-10,west,salbutamol,53
2022-01-10,west,ors,278
2022-01-10,central,paracetamol,106
2022-01-10,central,metformin,168
2022-01-10,central,amlodipine,102
2022-01-10,central,salbutamol,151
2022-01-10,central,ors,74
2022-01-11,north,paracetamol,224
2022-01-11,north,metformin,229
2022-01-11,north,amlodipine,270
2022-01-11,north,salbutamol,211
2022-01-11,north,ors,193
2022-01-11,south,paracetamol,278
2022-01-11,south,metformin,143
2022-01-11,south,amlodipine,264
2022-01-11,south,salbutamol,176
2022-01-11,south,ors,173
2022-01-11,east,paracetamol,85
2022-01-11,east,metformin,205
2022-01-11,east,amlodipine,242
2022-01-11,east,salbutamol,121
2022-01-11,east,ors,102
2022-01-11,west,paracetamol,219
2022-01-11,west,metformin,128
2022-01-11,west,amlodipine,147
2022-01-11,west,salbutamol,196
2022-01-11,west,ors,93
2022-01-11,central,paracetamol,79
2022-01-11,central,metformin,123
2022-01-11,central,amlodipine,221
2022-01-11,central,salbutamol,299
2022-01-11,central,ors,166
2022-01-12,north,paracetamol,204
2022-01-12,north,metformin,133
2022-01-12,north,amlodipine,266
2022-01-12,north,salbutamol,122
2022-01-12,north,ors,281
2022-01-12,south,paracetamol,83
2022-01-12,south,metformin,176
2022-01-12,south,amlodipine,134
2022-01-12,south,salbutamol,201
2022-01-12,south,ors,105
2022-01-12,east,paracetamol,56
2022-01-12,east,metformin,245
2022-01-12,east,amlodipine,100
2022-01-12,east,salbutamol,185
2022-01-12,east,ors,233
2022-01-12,west,paracetamol,254
2022-01-12,west,metformin,107
2022-01-12,west,amlodipine,134
2022-01-12,west,salbutamol,276
2022-01-12,west,ors,118
2022-01-12,central,paracetamol,293
2022-01-12,central,metformin,57
2022-01-12,central,amlodipine,243
2022-01-12,central,salbutamol,201
2022-01-12,central,ors,219
2022-01-13,north,paracetamol,103
2022-01-13,north,metformin,193
2022-01-13,north,amlodipine,181
2022-01-13,north,salbutamol,108
2022-01-13,north,ors,143
2022-01-13,south,paracetamol,95
2022-01-13,south,metformin,143
2022-01-13,south,amlodipine,148
2022-01-13,south,salbutamol,283
2022-01-13,south,ors,62
2022-01-13,east,paracetamol,86
2022-01-13,east,metformin,231
2022-01-13,east,amlodipine,226
2022-01-13,east,salbutamol,290
2022-01-13,east,ors,124
2022-01-13,west,paracetamol,107
2022-01-13,west,metformin,68
2022-01-13,west,amlodipine,195
2022-01-13,west,salbutamol,237
2022-01-13,west,ors,194
2022-01-13,central,paracetamol,188
2022-01-13,central,metformin,192
2022-01-13,central,amlodipine,249
2022-01-13,central,salbutamol,157
2022-01-13,central,ors,270
2022-01-14,north,paracetamol,194
2022-01-14,north,metformin,139
2022-01-14,north,amlodipine,169
2022-01-14,north,salbutamol,54
2022-01-14,north,ors,238
2022-01-14,south,paracetamol,181
2022-01-14,south,metformin,105
2022-01-14,south,amlodipine,265
2022-01-14,south,salbutamol,252
2022-01-14,south,ors,271
2022-01-14,east,paracetamol,153
2022-01-14,east,metformin,97
2022-01-14,east,amlodipine,97
2022-01-14,east,salbutamol,212
2022-01-14,east,ors,285
2022-01-14,west,paracetamol,297
2022-01-14,west,metformin,158
2022-01-14,west,amlodipine,210
2022-01-14,west,salbutamol,149
2022-01-14,west,ors,70
2022-01-14,central,paracetamol,151
2022-01-14,central,metformin,54
2022-01-14,central,amlodipine,241
2022-01-14,central,salbutamol,246
2022-01-14,central,ors,198
2022-01-15,north,paracetamol,138
2022-01-15,north,metformin,123
2022-01-15,north,amlodipine,171
2022-01-15,north,salbutamol,260
2022-01-15,north,ors,209
2022-01-15,south,paracetamol,195
2022-01-15,south,metformin,107
2022-01-15,south,amlodipine,147
2022-01-15,south,salbutamol,289
2022-01-15,south,ors,128
2022-01-15,east,paracetamol,201
2022-01-15,east,metformin,54
2022-01-15,east,amlodipine,176
2022-01-15,east,salbutamol,230
2022-01-15,east,ors,295
2022-01-15,west,paracetamol,145
2022-01-15,west,metformin,250
2022-01-15,west,amlodipine,232
2022-01-15,west,salbutamol,182
2022-01-15,west,ors,246
2022-01-15,central,paracetamol,171
2022-01-15,central,metformin,218
2022-01-15,central,amlodipine,282
2022-01-15,central,salbutamol,147
2022-01-15,central,ors,184
2022-01-16,north,paracetamol,139
2022-01-16,north,metformin,178
2022-01-16,north,amlodipine,101
2022-01-16,north,salbutamol,147
2022-01-16,north,ors,75
2022-01-16,south,paracetamol,170
2022-01-16,south,metformin,273
2022-01-16,south,amlodipine,240
2022-01-16,south,salbutamol,61
2022-01-16,south,ors,119
2022-01-16,east,paracetamol,133
2022-01-16,east,metformin,68
2022-01-16,east,amlodipine,257
2022-01-16,east,salbutamol,181
2022-01-16,east,ors,145
2022-01-16,west,paracetamol,259
2022-01-16,west,metformin,54
2022-01-16,west,amlodipine,170
2022-01-16,west,salbutamol,177
2022-01-16,west,ors,103
2022-01-16,central,paracetamol,291
2022-01-16,central,metformin,247
2022-01-16,central,amlodipine,234
2022-01-16,central,salbutamol,255
2022-01-16,central,ors,229
2022-01-17,north,paracetamol,290
2022-01-17,north,metformin,67
2022-01-17,north,amlodipine,113
2022-01-17,north,salbutamol,294
2022-01-17,north,ors,187
2022-01-17,south,paracetamol,72
2022-01-17,south,metformin,169
2022-01-17,south,amlodipine,164
2022-01-17,south,salbutamol,298
2022-01-17,south,ors,131
2022-01-17,east,paracetamol,245
2022-01-17,east,metformin,229
2022-01-17,east,amlodipine,145
2022-01-17,east,salbutamol,224
2022-01-17,east,ors,247
2022-01-17,west,paracetamol,75
2022-01-17,west,metformin,247
2022-01-17,west,amlodipine,148
2022-01-17,west,salbutamol,282
2022-01-17,west,ors,220
2022-01-17,central,paracetamol,246
2022-01-17,central,metformin,240
2022-01-17,central,amlodipine,255
2022-01-17,central,salbutamol,115
2022-01-17,central,ors,295
2022-01-18,north,paracetamol,292
2022-01-18,north,metformin,153
2022-01-18,north,amlodipine,240
2022-01-18,north,salbutamol,190
2022-01-18,north,ors,228
2022-01-18,south,paracetamol,54
2022-01-18,south,metformin,224
2022-01-18,south,amlodipine,213
2022-01-18,south,salbutamol,213
2022-01-18,south,ors,227
2022-01-18,east,paracetamol,233
2022-01-18,east,metformin,68
2022-01-18,east,amlodipine,69
2022-01-18,east,salbutamol,199
2022-01-18,east,ors,80
2022-01-18,west,paracetamol,154
2022-01-18,west,metformin,288
2022-01-18,west,amlodipine,239
2022-01-18,west,salbutamol,93
2022-01-18,west,ors,245
2022-01-18,central,paracetamol,244
2022-01-18,central,metformin,150
2022-01-18,central,amlodipine,138
2022-01-18,central,salbutamol,98
2022-01-18,central,ors,278
2022-01-19,north,paracetamol,108
2022-01-19,north,metformin,181
2022-01-19,north,amlodipine,166
2022-01-19,north,salbutamol,216
2022-01-19,north,ors,184
2022-01-19,south,paracetamol,248
2022-01-19,south,metformin,226
2022-01-19,south,amlodipine,138
2022-01-19,south,salbutamol,64
2022-01-19,south,ors,56
2022-01-19,east,paracetamol,224
2022-01-19,east,metformin,165
2022-01-19,east,amlodipine,245
2022-01-19,east,salbutamol,147
2022-01-19,east,ors,167
2022-01-19,west,paracetamol,222
2022-01-19,west,metformin,157
2022-01-19,west,amlodipine,155
2022-01-19,west,salbutamol,196
2022-01-19,west,ors,96
2022-01-19,central,paracetamol,290
2022-01-19,central,metformin,102
2022-01-19,central,amlodipine,279
2022-01-19,central,salbutamol,204
2022-01-19,central,ors,182
2022-01-20,north,paracetamol,294
2022-01-20,north,metformin,109
2022-01-20,north,amlodipine,299
2022-01-20,north,salbutamol,126
2022-01-20,north,ors,111
2022-01-20,south,paracetamol,108
2022-01-20,south,metformin,287
2022-01-20,south,amlodipine,238
2022-01-20,south,salbutamol,105
2022-01-20,south,ors,127
2022-01-20,east,paracetamol,271
2022-01-20,east,metformin,96
2022-01-20,east,amlodipine,225
2022-01-20,east,salbutamol,187
2022-01-20,east,ors,209
2022-01-20,west,paracetamol,242
2022-01-20,west,metformin,73
2022-01-20,west,amlodipine,78
2022-01-20,west,salbutamol,284
2022-01-20,west,ors,184
2022-01-20,central,paracetamol,144
2022-01-20,central,metformin,194
2022-01-20,central,amlodipine,143
2022-01-20,central,salbutamol,74
2022-01-20,central,ors,269
2022-01-21,north,paracetamol,85
2022-01-21,north,metformin,238
2022-01-21,north,amlodipine,120
2022-01-21,north,salbutamol,212
2022-01-21,north,ors,169
2022-01-21,south,paracetamol,261
2022-01-21,south,metformin,255
2022-01-21,south,amlodipine,291
2022-01-21,south,salbutamol,99
2022-01-21,south,ors,233
2022-01-21,east,paracetamol,271
2022-01-21,east,metformin,297
2022-01-21,east,amlodipine,177
2022-01-21,east,salbutamol,242
2022-01-21,east,ors,279
2022-01-21,west,paracetamol,90
2022-01-21,west,metformin,74
2022-01-21,west,amlodipine,211
2022-01-21,west,salbutamol,185
2022-01-21,west,ors,105
2022-01-21,central,paracetamol,133
2022-01-21,central,metformin,207
2022-01-21,central,amlodipine,117
2022-01-21,central,salbutamol,70
2022-01-21,central,ors,140
2022-01-22,north,paracetamol,59
2022-01-22,north,metformin,136
2022-01-22,north,amlodipine,82
2022-01-22,north,salbutamol,252
2022-01-22,north,ors,154
2022-01-22,south,paracetamol,132
2022-01-22,south,metformin,252
2022-01-22,south,amlodipine,53
2022-01-22,south,salbutamol,72
2022-01-22,south,ors,246
2022-01-22,east,paracetamol,102
2022-01-22,east,metformin,162
2022-01-22,east,amlodipine,291
2022-01-22,east,salbutamol,182
2022-01-22,east,ors,67
2022-01-22,west,paracetamol,66
2022-01-22,west,metformin,235
2022-01-22,west,amlodipine,244
2022-01-22,west,salbutamol,156
2022-01-22,west,ors,162
2022-01-22,central,paracetamol,171
2022-01-22,central,metformin,249
2022-01-22,central,amlodipine,233
2022-01-22,central,salbutamol,217
2022-01-22,central,ors,136
2022-01-23,north,paracetamol,264
2022-01-23,north,metformin,51
2022-01-23,north,amlodipine,170
2022-01-23,north,salbutamol,152
2022-01-23,north,ors,198
2022-01-23,south,paracetamol,229
2022-01-23,south,metformin,201
2022-01-23,south,amlodipine,102
2022-01-23,south,salbutamol,215
2022-01-23,south,ors,197
2022-01-23,east,paracetamol,99
2022-01-23,east,metformin,216
2022-01-23,east,amlodipine,109
2022-01-23,east,salbutamol,163
2022-01-23,east,ors,268
2022-01-23,west,paracetamol,157
2022-01-23,west,metformin,88
2022-01-23,west,amlodipine,120
2022-01-23,west,salbutamol,177
2022-01-23,west,ors,82
2022-01-23,central,paracetamol,206
2022-01-23,central,metformin,123
2022-01-23,central,amlodipine,59
2022-01-23,central,salbutamol,253
2022-01-23,central,ors,244
2022-01-24,north,paracetamol,180
2022-01-24,north,metformin,254
2022-01-24,north,amlodipine,158
2022-01-24,north,salbutamol,208
2022-01-24,north,ors,76
2022-01-24,south,paracetamol,247
2022-01-24,south,metformin,76
2022-01-24,south,amlodipine,276
2022-01-24,south,salbutamol,160
2022-01-24,south,ors,58
2022-01-24,east,paracetamol,294
2022-01-24,east,metformin,55
2022-01-24,east,amlodipine,183
2022-01-24,east,salbutamol,281
2022-01-24,east,ors,75
2022-01-24,west,paracetamol,92
2022-01-24,west,metformin,68
2022-01-24,west,amlodipine,65
2022-01-24,west,salbutamol,154
2022-01-24,west,ors,72
2022-01-24,central,paracetamol,252
2022-01-24,central,metformin,257
2022-01-24,central,amlodipine,206
2022-01-24,central,salbutamol,215
2022-01-24,central,ors,108
2022-01-25,north,paracetamol,290
2022-01-25,north,metformin,97
2022-01-25,north,amlodipine,197
2022-01-25,north,salbutamol,70
2022-01-25,north,ors,205
2022-01-25,south,paracetamol,227
2022-01-25,south,metformin,82
2022-01-25,south,amlodipine,163
2022-01-25,south,salbutamol,89
2022-01-25,south,ors,267
2022-01-25,east,paracetamol,231
2022-01-25,east,metformin,59
2022-01-25,east,amlodipine,211
2022-01-25,east,salbutamol,122
2022-01-25,east,ors,297
2022-01-25,west,paracetamol,85
2022-01-25,west,metformin,124
2022-01-25,west,amlodipine,251
2022-01-25,west,salbutamol,287
2022-01-25,west,ors,184
2022-01-25,central,paracetamol,164
2022-01-25,central,metformin,279
2022-01-25,central,amlodipine,65
2022-01-25,central,salbutamol,228
2022-01-25,central,ors,267
2022-01-26,north,paracetamol,273
2022-01-26,north,metformin,238
2022-01-26,north,amlodipine,208
2022-01-26,north,salbutamol,292
2022-01-26,north,ors,209
2022-01-26,south,paracetamol,94
2022-01-26,south,metformin,253
2022-01-26,south,amlodipine,76
2022-01-26,south,salbutamol,298
2022-01-26,south,ors,71
2022-01-26,east,paracetamol,192
2022-01-26,east,metformin,57
2022-01-26,east,amlodipine,245
2022-01-26,east,salbutamol,165
2022-01-26,east,ors,185
2022-01-26,west,paracetamol,136
2022-01-26,west,metformin,166
2022-01-26,west,amlodipine,65
2022-01-26,west,salbutamol,225
2022-01-26,west,ors,211
2022-01-26,central,paracetamol,263
2022-01-26,central,metformin,162
2022-01-26,central,amlodipine,264
2022-01-26,central,salbutamol,106
2022-01-26,central,ors,182
2022-01-27,north,paracetamol,278
2022-01-27,north,metformin,93
2022-01-27,north,amlodipine,120
2022-01-27,north,salbutamol,86
2022-01-27,north,ors,267
2022-01-27,south,paracetamol,173
2022-01-27,south,metformin,77
2022-01-27,south,amlodipine,117
2022-01-27,south,salbutamol,162
2022-01-27,south,ors,273
2022-01-27,east,paracetamol,215
2022-01-27,east,metformin,95
2022-01-27,east,amlodipine,250
2022-01-27,east,salbutamol,149
2022-01-27,east,ors,75
2022-01-27,west,paracetamol,124
2022-01-27,west,metformin,261
2022-01-27,west,amlodipine,230
2022-01-27,west,salbutamol,240
2022-01-27,west,ors,161
2022-01-27,central,paracetamol,112
2022-01-27,central,metformin,161
2022-01-27,central,amlodipine,289
2022-01-27,central,salbutamol,215
2022-01-27,central,ors,192
2022-01-28,north,paracetamol,148
2022-01-28,north,metformin,58
2022-01-28,north,amlodipine,274
2022-01-28,north,salbutamol,124
2022-01-28,north,ors,71
2022-01-28,south,paracetamol,247
2022-01-28,south,metformin,233
2022-01-28,south,amlodipine,86
2022-01-28,south,salbutamol,106
2022-01-28,south,ors,298
2022-01-28,east,paracetamol,237
2022-01-28,east,metformin,163
2022-01-28,east,amlodipine,262
2022-01-28,east,salbutamol,189
2022-01-28,east,ors,184
2022-01-28,west,paracetamol,243
2022-01-28,west,metformin,152
2022-01-28,west,amlodipine,90
2022-01-28,west,salbutamol,201
2022-01-28,west,ors,267
2022-01-28,central,paracetamol,202
2022-01-28,central,metformin,239
2022-01-28,central,amlodipine,261
2022-01-28,central,salbutamol,281
2022-01-28,central,ors,154
2022-01-29,north,paracetamol,155
2022-01-29,north,metformin,93
2022-01-29,north,amlodipine,179
2022-01-29,north,salbutamol,219
2022-01-29,north,ors,276
2022-01-29,south,paracetamol,210
2022-01-29,south,metformin,194
2022-01-29,south,amlodipine,171
2022-01-29,south,salbutamol,240
2022-01-29,south,ors,199
2022-01-29,east,paracetamol,50
2022-01-29,east,metformin,278
2022-01-29,east,amlodipine,143
2022-01-29,east,salbutamol,287
2022-01-29,east,ors,247
2022-01-29,west,paracetamol,282
2022-01-29,west,metformin,231
2022-01-29,west,amlodipine,63
2022-01-29,west,salbutamol,149
2022-01-29,west,ors,274
2022-01-29,central,paracetamol,151
2022-01-29,central,metformin,280
2022-01-29,central,amlodipine,102
2022-01-29,central,salbutamol,55
2022-01-29,central,ors,139
2022-01-30,north,paracetamol,113
2022-01-30,north,metformin,137
2022-01-30,north,amlodipine,82
2022-01-30,north,salbutamol,121
2022-01-30,north,ors,93
2022-01-30,south,paracetamol,156
2022-01-30,south,metformin,83
2022-01-30,south,amlodipine,211
2022-01-30,south,salbutamol,201
2022-01-30,south,ors,51
2022-01-30,east,paracetamol,185
2022-01-30,east,metformin,166
2022-01-30,east,amlodipine,202
2022-01-30,east,salbutamol,170
2022-01-30,east,ors,271
2022-01-30,west,paracetamol,81
2022-01-30,west,metformin,105
2022-01-30,west,amlodipine,143
2022-01-30,west,salbutamol,298
2022-01-30,west,ors,56
2022-01-30,central,paracetamol,225
2022-01-30,central,metformin,137
2022-01-30,central,amlodipine,231
2022-01-30,central,salbutamol,240
2022-01-30,central,ors,250
2022-01-31,north,paracetamol,257
2022-01-31,north,metformin,179
2022-01-31,north,amlodipine,84
2022-01-31,north,salbutamol,147
2022-01-31,north,ors,71
2022-01-31,south,paracetamol,260
2022-01-31,south,metformin,241
2022-01-31,south,amlodipine,108
2022-01-31,south,salbutamol,226
2022-01-31,south,ors,101
2022-01-31,east,paracetamol,198
2022-01-31,east,metformin,189
2022-01-31,east,amlodipine,60
2022-01-31,east,salbutamol,293
2022-01-31,east,ors,231
2022-01-31,west,paracetamol,260
2022-01-31,west,metformin,171
2022-01-31,west,amlodipine,247
2022-01-31,west,salbutamol,283
2022-01-31,west,ors,63
2022-01-31,central,paracetamol,82
2022-01-31,central,metformin,288
2022-01-31,central,amlodipine,151
2022-01-31,central,salbutamol,126
2022-01-31,central,ors,297
2022-02-01,north,paracetamol,75
2022-02-01,north,metformin,191
2022-02-01,north,amlodipine,286
2022-02-01,north,salbutamol,265
2022-02-01,north,ors,225
2022-02-01,south,paracetamol,114
2022-02-01,south,metformin,95
2022-02-01,south,amlodipine,176
2022-02-01,south,salbutamol,286
2022-02-01,south,ors,232
2022-02-01,east,paracetamol,143
2022-02-01,east,metformin,123
2022-02-01,east,amlodipine,177
2022-02-01,east,salbutamol,123
2022-02-01,east,ors,269
2022-02-01,west,paracetamol,245
2022-02-01,west,metformin,255
2022-02-01,west,amlodipine,189
2022-02-01,west,salbutamol,231
2022-02-01,west,ors,241
2022-02-01,central,paracetamol,151
2022-02-01,central,metformin,96
2022-02-01,central,amlodipine,214
2022-02-01,central,salbutamol,251
2022-02-01,central,ors,218
2022-02-02,north,paracetamol,76
2022-02-02,north,metformin,219
2022-02-02,north,amlodipine,297
2022-02-02,north,salbutamol,253
2022-02-02,north,ors,135
2022-02-02,south,paracetamol,117
2022-02-02,south,metformin,206
2022-02-02,south,amlodipine,213
2022-02-02,south,salbutamol,158
2022-02-02,south,ors,106
2022-02-02,east,paracetamol,255
2022-02-02,east,metformin,189
2022-02-02,east,amlodipine,222
2022-02-02,east,salbutamol,197
2022-02-02,east,ors,94
2022-02-02,west,paracetamol,72
2022-02-02,west,metformin,239
2022-02-02,west,amlodipine,263
2022-02-02,west,salbutamol,83
2022-02-02,west,ors,70
2022-02-02,central,paracetamol,228
2022-02-02,central,metformin,186
2022-02-02,central,amlodipine,251
2022-02-02,central,salbutamol,162
2022-02-02,central,ors,59
2022-02-03,north,paracetamol,101
2022-02-03,north,metformin,94
2022-02-03,north,amlodipine,229
2022-02-03,north,salbutamol,298
2022-02-03,north,ors,79
2022-02-03,south,paracetamol,241
2022-02-03,south,metformin,274
2022-02-03,south,amlodipine,179
2022-02-03,south,salbutamol,226
2022-02-03,south,ors,145
2022-02-03,east,paracetamol,222
2022-02-03,east,metformin,66
2022-02-03,east,amlodipine,77
2022-02-03,east,salbutamol,175
2022-02-03,east,ors,94
2022-02-03,west,paracetamol,66
2022-02-03,west,metformin,292
2022-02-03,west,amlodipine,236
2022-02-03,west,salbutamol,191
2022-02-03,west,ors,165
2022-02-03,central,paracetamol,187
2022-02-03,central,metformin,275
2022-02-03,central,amlodipine,255
2022-02-03,central,salbutamol,130
2022-02-03,central,ors,278
2022-02-04,north,paracetamol,263
2022-02-04,north,metformin,67
2022-02-04,north,amlodipine,84
2022-02-04,north,salbutamol,225
2022-02-04,north,ors,107
2022-02-04,south,paracetamol,164
2022-02-04,south,metformin,67
2022-02-04,south,amlodipine,229
2022-02-04,south,salbutamol,207
2022-02-04,south,ors,86
2022-02-04,east,paracetamol,89
2022-02-04,east,metformin,55
2022-02-04,east,amlodipine,128
2022-02-04,east,salbutamol,298
2022-02-04,east,ors,212
2022-02-04,west,paracetamol,203
2022-02-04,west,metformin,154
2022-02-04,west,amlodipine,140
2022-02-04,west,salbutamol,207
2022-02-04,west,ors,124
2022-02-04,central,paracetamol,165
2022-02-04,central,metformin,201
2022-02-04,central,amlodipine,171
